Family,genome_count,fraction,percentage
Grimontviridae,16,0.0008079583901429077,0.08079583901429077
Nixviridae,15,0.0007574609907589759,0.07574609907589759
Polycipiviridae,15,0.0007574609907589759,0.07574609907589759
Pecoviridae,15,0.0007574609907589759,0.07574609907589759
Mimiviridae,15,0.0007574609907589759,0.07574609907589759
Jeanschmidtviridae,14,0.0007069635913750442,0.07069635913750442
Nudiviridae,14,0.0007069635913750442,0.07069635913750442
Mesoniviridae,14,0.0007069635913750442,0.07069635913750442
Naryaviridae,14,0.0007069635913750442,0.07069635913750442
Polymycoviridae,14,0.0007069635913750442,0.07069635913750442
Discoviridae,14,0.0007069635913750442,0.07069635913750442
Nimaviridae,13,0.0006564661919911124,0.06564661919911124
Colingsworthviridae,13,0.0006564661919911124,0.06564661919911124
Spiciviridae,13,0.0006564661919911124,0.06564661919911124
Yadokariviridae,13,0.0006564661919911124,0.06564661919911124
Artoviridae,13,0.0006564661919911124,0.06564661919911124
Tectiviridae,12,0.0006059687926071808,0.06059687926071808
Kirkoviridae,12,0.0006059687926071808,0.06059687926071808
Duinviridae,12,0.0006059687926071808,0.06059687926071808
Botybirnaviridae,12,0.0006059687926071808,0.06059687926071808
Leishbuviridae,12,0.0006059687926071808,0.06059687926071808
Aliusviridae,12,0.0006059687926071808,0.06059687926071808
Pootjesviridae,11,0.000555471393223249,0.0555471393223249
Orlajensenviridae,11,0.000555471393223249,0.0555471393223249
Zobellviridae,11,0.000555471393223249,0.0555471393223249
Saffermanviridae,10,0.0005049739938393173,0.05049739938393173
Lipothrixviridae,10,0.0005049739938393173,0.05049739938393173
Hafunaviridae,10,0.0005049739938393173,0.05049739938393173
Alloherpesviridae,10,0.0005049739938393173,0.05049739938393173
Nipumfusiviridae,10,0.0005049739938393173,0.05049739938393173
Endolinaviridae,10,0.0005049739938393173,0.05049739938393173
Anicreviridae,9,0.00045447659445538557,0.04544765944553856
Metaviridae,9,0.00045447659445538557,0.04544765944553856
Artiviridae,9,0.00045447659445538557,0.04544765944553856
Fuselloviridae,9,0.00045447659445538557,0.04544765944553856
Curvulaviridae,8,0.00040397919507145384,0.040397919507145386
Qinviridae,8,0.00040397919507145384,0.040397919507145386
Benyviridae,8,0.00040397919507145384,0.040397919507145386
Gandrviridae,8,0.00040397919507145384,0.040397919507145386
Alisviridae,8,0.00040397919507145384,0.040397919507145386
Megabirnaviridae,8,0.00040397919507145384,0.040397919507145386
Lebotiviridae,8,0.00040397919507145384,0.040397919507145386
Marseilleviridae,8,0.00040397919507145384,0.040397919507145386
